Country,Alpha-3 code,Latitude,Longitude
Afghanistan, AFG, 33, 65
Albania, ALB, 41, 20
Algeria, DZA, 28, 3
Andorra, AND, 42.5, 1.6
Angola, AGO, -12.5, 18.5
Antigua and Barbuda, ATG, 17.05, -61.8
Argentina, ARG, -34, -64
Armenia, ARM, 40, 45
Australia, AUS, -27, 133
Austria, AUT, 47.3333, 13.3333
Azerbaijan, AZE, 40.5, 47.5
Bahrain, BHR, 26, 50.55
Bangladesh, BGD, 24, 90
Barbados, BRB, 13.1667, -59.5333
Belarus, BLR, 53, 28
Belgium, BEL, 50.8333, 4
Belize, BLZ, 17.25, -88.75
Benin, BEN, 9.5, 2.25
Bhutan, BTN, 27.5, 90.5
Bolivia, BOL, -17, -65
Bosnia and Herzegovina, BIH, 44, 18
Botswana, BWA, -22, 24
Brazil, BRA, -10, -55
Bulgaria, BGR, 43, 25
Burkina Faso, BFA, 13, -2
Burundi, BDI, -3.5, 30
Cambodia, KHM, 13, 105
Cameroon, CMR, 6, 12
Canada, CAN, 60, -95
Cabo Verde, CPV, 16, -24
Central African Republic, CAF, 7, 21
Chad, TCD, 15, 19
Chile, CHL, -30, -71
China, CHN, 35, 105
Colombia, COL, 4, -72
Comoros, COM, -12.1667, 44.25
Costa Rica, CRI, 10, -84
Croatia, HRV, 45.1667, 15.5
Cuba, CUB, 21.5, -80
Cyprus, CYP, 35, 33
Denmark, DNK, 56, 10
Djibouti, DJI, 11.5, 43
Dominica, DMA, 15.4167, -61.3333
Dominican Republic, DOM, 19, -70.6667
Ecuador, ECU, -2, -77.5
El Salvador, SLV, 13.8333, -88.9167
Equatorial Guinea, GNQ, 2, 10
Eritrea, ERI, 15, 39
Estonia, EST, 59, 26
Ethiopia, ETH, 8, 38
Fiji, FJI, -18, 175
Finland, FIN, 64, 26
France, FRA, 46, 2
Gabon, GAB, -1, 11.75
Georgia, GEO, 42, 43.5
Germany, DEU, 51, 9
Ghana, GHA, 8, -2
Greece, GRC, 39, 22
Grenada, GRD, 12.1167, -61.6667
Guatemala, GTM, 15.5, -90.25
Guinea-Bissau, GNB, 12, -15
Guinea, GIN, 11, -10
Guyana, GUY, 5, -59
Haiti, HTI, 19, -72.4167
Honduras, HND, 15, -86.5
Hungary, HUN, 47, 20
Iceland, ISL, 65, -18
India, IND, 20, 77
Indonesia, IDN, -5, 120
Iraq, IRQ, 33, 44
Ireland, IRL, 53, -8
Israel, ISR, 31.5, 34.75
Italy, ITA, 42.8333, 12.8333
Jamaica, JAM, 18.25, -77.5
Japan, JPN, 36, 138
Jordan, JOR, 31, 36
Kazakhstan, KAZ, 48, 68
Kenya, KEN, 1, 38
Kuwait, KWT, 29.3375, 47.6581
Latvia, LVA, 57, 25
Lebanon, LBN, 33.8333, 35.8333
Lesotho, LSO, -29.5, 28.5
Liberia, LBR, 6.5, -9.5
Libya, LBY, 25, 17
Liechtenstein, LIE, 47.1667, 9.5333
Lithuania, LTU, 56, 24
Luxembourg, LUX, 49.75, 6.1667
Madagascar, MDG, -20, 47
Malawi, MWI, -13.5, 34
Malaysia, MYS, 2.5, 112.5
Maldives, MDV, 3.25, 73
Mali, MLI, 17, -4
Malta, MLT, 35.8333, 14.5833
Mauritania, MRT, 20, -12
Mauritius, MUS, -20.2833, 57.55
Mexico, MEX, 23, -102
Monaco, MCO, 43.7333, 7.4
Mongolia, MNG, 46, 105
Montenegro, MNE, 42, 19
Morocco, MAR, 32, -5
Mozambique, MOZ, -18.25, 35
Namibia, NAM, -22, 17
Nepal, NPL, 28, 84
Netherlands, NLD, 52.5, 5.75
New Zealand, NZL, -41, 174
Nicaragua, NIC, 13, -85
Niger, NER, 16, 8
Nigeria, NGA, 10, 8
Norway, NOR, 62, 10
Oman, OMN, 21, 57
Pakistan, PAK, 30, 70
Panama, PAN, 9, -80
Papua New Guinea, PNG, -6, 147
Paraguay, PRY, -23, -58
Peru, PER, -10, -76
Philippines, PHL, 13, 122
Poland, POL, 52, 20
Portugal, PRT, 39.5, -8
Qatar, QAT, 25.5, 51.25
Romania, ROU, 46, 25
Russia, RUS, 60, 100
Rwanda, RWA, -2, 30
Saint Kitts and Nevis, KNA, 17.3333, -62.75
Saint Lucia, LCA, 13.8833, -61.1333
Saint Vincent and the Grenadines, VCT, 13.25, -61.2
San Marino, SMR, 43.7667, 12.4167
Sao Tome and Principe, STP, 1, 7
Saudi Arabia, SAU, 25, 45
Senegal, SEN, 14, -14
Serbia, SRB, 44, 21
Seychelles, SYC, -4.5833, 55.6667
Sierra Leone, SLE, 8.5, -11.5
Singapore, SGP, 1.3667, 103.8
Slovenia, SVN, 46, 15
Somalia, SOM, 10, 49
South Africa, ZAF, -29, 24
Spain, ESP, 40, -4
Sri Lanka, LKA, 7, 81
Sudan, SDN, 15, 30
Suriname, SUR, 4, -56
Sweden, SWE, 62, 15
Switzerland, CHE, 47, 8
Tajikistan, TJK, 39, 71
Thailand, THA, 15, 100
Timor-Leste, TLS, -8.55, 125.5167
Togo, TGO, 8, 1.1667
Trinidad and Tobago, TTO, 11, -61
Tunisia, TUN, 34, 9
Uganda, UGA, 1, 32
Ukraine, UKR, 49, 32
United Arab Emirates, ARE, 24, 54
United Kingdom, GBR, 54, -2
United States, USA, 38, -97
Uruguay, URY, -33, -56
Uzbekistan, UZB, 41, 64
Venezuela, VEN, 8, -66
Vietnam, VNM, 16, 106
Zambia, ZMB, -15, 30
Zimbabwe, ZWE, -20, 30
