Country,Mortality Rate
Afghanistan,3.69
Albania,2.89
Algeria,3.37
Andorra,3.02
Angola,3.64
Antigua and Barbuda,3.09
Argentina,2.16
Armenia,1.97
Australia,3.19
Austria,1.94
Azerbaijan,1.47
Bahrain,0.34
Bangladesh,1.43
Barbados,3.7
Belarus,1.04
Belgium,9.32
Belize,1.29
Benin,1.72
Bhutan,0.0
Bolivia,5.86
Bosnia and Herzegovina,3.03
Botswana,0.51
Brazil,3.01
Bulgaria,4.04
Burkina Faso,2.9
Burundi,0.21
Cabo Verde,0.0
Cambodia,0.0
Cameroon,2.01
Canada,6.2
Central African Republic,1.29
Chad,7.04
Chile,2.74
China,5.43
Colombia,3.16
Comoros,1.49
Costa Rica,1.15
Croatia,1.68
Cuba,2.24
Cyprus,1.33
Denmark,2.59
Djibouti,1.13
Dominica,0.0
Dominican Republic,1.89
Ecuador,8.6
El Salvador,2.93
Equatorial Guinea,1.65
Eritrea,0.0
Estonia,2.11
Ethiopia,1.61
Fiji,6.25
Finland,3.69
France,6.18
Gabon,0.62
Georgia,0.6
Germany,3.38
Ghana,0.65
Greece,2.19
Grenada,0.0
Guatemala,3.61
Guinea,0.62
Guinea-Bissau,1.68
Guyana,2.72
Haiti,2.6
Honduras,3.06
Hungary,3.43
Iceland,0.4
India,1.59
Indonesia,3.88
Iraq,2.63
Ireland,5.33
Israel,0.65
Italy,11.82
Jamaica,1.41
Japan,1.91
Jordan,0.58
Kazakhstan,1.58
Kenya,1.78
Kuwait,0.58
Latvia,2.29
Lebanon,1.03
Lesotho,2.32
Liberia,6.13
Libya,1.56
Liechtenstein,0.86
Lithuania,2.21
Luxembourg,1.53
Madagascar,1.4
Malawi,3.12
Malaysia,1.27
Maldives,0.34
Mali,4.28
Malta,0.88
Mauritania,2.17
Mauritius,2.72
Mexico,10.56
Monaco,0.5
Mongolia,0.0
Montenegro,1.6
Morocco,1.78
Mozambique,0.67
Namibia,1.1
Nepal,0.64
Netherlands,6.02
New Zealand,1.37
Nicaragua,2.94
Niger,5.78
Nigeria,1.91
Norway,2.01
Oman,0.92
Pakistan,2.09
Panama,2.12
Papua New Guinea,1.33
Paraguay,2.04
Peru,4.07
Philippines,1.73
Poland,2.87
Portugal,2.74
Qatar,0.17
Romania,3.91
Russia,1.76
Rwanda,0.56
Saint Kitts and Nevis,0.0
Saint Lucia,0.0
Saint Vincent and the Grenadines,0.0
San Marino,5.81
Sao Tome and Principe,0.0
Saudi Arabia,1.38
Senegal,2.05
Serbia,2.25
Seychelles,0.0
Sierra Leone,3.3
Singapore,0.05
Slovenia,3.05
Somalia,2.83
South Africa,2.44
Spain,4.47
Sri Lanka,0.39
Sudan,6.16
Suriname,2.11
Sweden,6.55
Switzerland,4.03
Tajikistan,0.78
Thailand,1.68
Timor-Leste,0.0
Togo,2.41
Trinidad and Tobago,1.62
Tunisia,1.39
Uganda,1.0
Ukraine,2.0
United Arab Emirates,0.46
United Kingdom,3.09
United States,2.91
Uruguay,2.42
Uzbekistan,0.83
Venezuela,0.83
Vietnam,3.27
Zambia,2.3
Zimbabwe,2.94
