Country,Latitude,Longitude,Urban Population,Total Population,Mortality Rate,Mean temperature,Climate,Spread rate
Afghanistan,33.0,65.0,10142913.0,38972230.0,3.69,10.6,Dsb,0.23101711767690666
Albania,41.0,20.0,1762645.0,2837849.0,2.89,9.4,Csa,0.09273666521863613
Algeria,28.0,3.0,32038217.0,43451666.0,3.37,22.5,BWh,0.09231638111679656
Andorra,42.5,1.6,68311.0,77700.0,3.02,7.6,Cfb,0.3393022646397133
Angola,-12.5,18.5,22338586.0,33428486.0,3.64,21.55,Cwa,0.15581937752454716
Antigua and Barbuda,17.05,-61.8,22641.0,92664.0,3.09,25.85,Af,0.18727632112791334
Argentina,-34.0,-64.0,41796990.0,45376763.0,2.16,11.8,Cfa,0.14700815137176781
Armenia,40.0,45.0,1776315.0,2805608.0,1.97,7.15,Dfb,0.14916617634203158
Australia,-27.0,133.0,22120168.0,25649248.0,3.19,21.65,BWh,0.2694824089675186
Austria,47.3333,13.3333,5238479.0,8916864.0,1.94,6.35,Dfc,0.20895860950183964
Azerbaijan,40.5,47.5,5692217.0,10093121.0,1.47,9.95,Cfa,0.1575003087415605
Bahrain,26.0,50.55,1322423.0,1477469.0,0.34,26.8,BWh,0.05078727244668966
Bangladesh,24.0,90.0,63916296.0,167420951.0,1.43,25.0,Aw,0.13909384869239225
Barbados,13.1667,-59.5333,87551.0,280693.0,3.7,26.0,Am,0.42690065595534915
Belarus,53.0,28.0,7455467.0,9379952.0,1.04,6.15,Dfb,0.14891008770159525
Belgium,50.8333,4.0,11316947.0,11538604.0,9.32,9.55,Cfb,0.285589805298401
Belize,17.25,-88.75,181762.0,394921.0,1.29,25.35,Am,0.26783413063859873
Benin,9.5,2.25,6121168.0,12643123.0,1.72,27.55,Aw,0.4486703170915991
Bhutan,27.5,90.5,326894.0,772506.0,0.0,7.4,Cwb,0.09568495338311225
Bolivia,-17.0,-65.0,8369995.0,11936162.0,5.86,21.55,Cfb,0.11878797616504345
Bosnia and Herzegovina,44.0,18.0,1626683.0,3318407.0,3.03,9.85,Cfb,0.09155189025569337
Botswana,-22.0,24.0,1804813.0,2546402.0,0.51,21.5,BSh,0.14705126677547303
Brazil,-10.0,-55.0,185636418.0,213196304.0,3.01,24.95,Aw,0.07415021976116197
Bulgaria,43.0,25.0,5248079.0,6934015.0,4.04,10.55,Cfa,0.11890270515252684
Burkina Faso,13.0,-2.0,6587430.0,21522626.0,2.9,28.29,BSh,0.16910653250108512
Burundi,-3.5,30.0,1675149.0,12220227.0,0.21,19.8,Cwb,0.20463798932608615
Cambodia,13.0,105.0,3973287.0,16396860.0,0.0,26.8,Aw,0.3766412030359814
Cameroon,6.0,12.0,15248270.0,26491087.0,2.01,24.6,Aw,0.2033489092828709
Canada,60.0,-95.0,30999405.0,38007166.0,6.2,-5.1,Dfc,0.20209280171462896
Cabo Verde,16.0,-24.0,388341.0,582640.0,0.0,23.3,BWh,0.08614228568699805
Central African Republic,7.0,21.0,2254648.0,5343020.0,1.29,24.9,Aw,0.23431324740401072
