Country,Latitude,Longitude,Urban Population,Total Population,Mortality Rate,Mean temperature,Climate,Spread rate
Afghanistan,33.0,65.0,10142913.0,38972230.0,3.69,10.6,Dsb,0.3033573094998078
Albania,41.0,20.0,1762645.0,2837849.0,2.89,9.4,Csa,0.12307524880797309
Algeria,28.0,3.0,32038217.0,43451666.0,3.37,22.5,BWh,0.11645906037268183
Andorra,42.5,1.6,68311.0,77700.0,3.02,7.6,Cfb,0.3356500923814924
Angola,-12.5,18.5,22338586.0,33428486.0,3.64,21.55,Cwa,0.20803786849050407
Antigua and Barbuda,17.05,-61.8,22641.0,92664.0,3.09,25.85,Af,0.044545690228745397
Argentina,-34.0,-64.0,41796990.0,45376763.0,2.16,11.8,Cfa,0.18517178230723605
Armenia,40.0,45.0,1776315.0,2805608.0,1.97,7.15,Dfb,0.2234786510267466
Australia,-27.0,133.0,22120168.0,25649248.0,3.19,21.65,BWh,0.3135704635501067
Austria,47.3333,13.3333,5238479.0,8916864.0,1.94,6.35,Dfc,0.21607588163421435
Azerbaijan,40.5,47.5,5692217.0,10093121.0,1.47,9.95,Cfa,0.20348955203382427
Bahrain,26.0,50.55,1322423.0,1477469.0,0.34,26.8,BWh,0.10598925950452992
Bangladesh,24.0,90.0,63916296.0,167420951.0,1.43,25.0,Aw,0.19835445051849124
Barbados,13.1667,-59.5333,87551.0,280693.0,3.7,26.0,Am,0.43065396954762697
Belarus,53.0,28.0,7455467.0,9379952.0,1.04,6.15,Dfb,0.1898276770162791
Belgium,50.8333,4.0,11316947.0,11538604.0,9.32,9.55,Cfb,0.3526617961677247
Belize,17.25,-88.75,181762.0,394921.0,1.29,25.35,Am,0.2804012573573223
Benin,9.5,2.25,6121168.0,12643123.0,1.72,27.55,Aw,0.5051242086957894
Bhutan,27.5,90.5,326894.0,772506.0,0.0,7.4,Cwb,0.09704671829652611
Bolivia,-17.0,-65.0,8369995.0,11936162.0,5.86,21.55,Cfb,0.16493765698301577
Bosnia and Herzegovina,44.0,18.0,1626683.0,3318407.0,3.03,9.85,Cfb,0.11552278051942709
Botswana,-22.0,24.0,1804813.0,2546402.0,0.51,21.5,BSh,0.168925196199687
Brazil,-10.0,-55.0,185636418.0,213196304.0,3.01,24.95,Aw,0.12308805360355035
Bulgaria,43.0,25.0,5248079.0,6934015.0,4.04,10.55,Cfa,0.13024260924876355
Burkina Faso,13.0,-2.0,6587430.0,21522626.0,2.9,28.29,BSh,0.17814186920975553
Burundi,-3.5,30.0,1675149.0,12220227.0,0.21,19.8,Cwb,0.23707256180263653
Cambodia,13.0,105.0,3973287.0,16396860.0,0.0,26.8,Aw,0.43041834713118216
Cameroon,6.0,12.0,15248270.0,26491087.0,2.01,24.6,Aw,0.23409981525022783
Canada,60.0,-95.0,30999405.0,38007166.0,6.2,-5.1,Dfc,0.22303007544745582
Cabo Verde,16.0,-24.0,388341.0,582640.0,0.0,23.3,BWh,0.14114638510132474
Central African Republic,7.0,21.0,2254648.0,5343020.0,1.29,24.9,Aw,0.2983228545929141
Chad,15.0,19.0,3914834.0,16644701.0,7.04,26.55,BWh,0.4725291721253791
Chile,-30.0,-71.0,16931587.0,19300315.0,2.74,8.45,BWk,0.30960003182421003
China,35.0,105.0,866810508.0,1411100000.0,5.43,7.5,Dwb,0.5727949321271598
Colombia,4.0,-72.0,41470292.0,50930662.0,3.16,24.5,Am,0.18892521223830688
Comoros,-12.1667,44.25,236852.0,806166.0,1.49,25.3,Af,0.35262936960504837
Costa Rica,10.0,-84.0,4137983.0,5123105.0,1.15,24.8,Am,0.19857104874297682
Croatia,45.1667,15.5,2329561.0,4047680.0,1.68,10.9,Cfb,0.1785936461641039
Cuba,21.5,-80.0,8723461.0,11300698.0,2.24,25.2,Aw,0.048089447047092594
Cyprus,35.0,33.0,826935.0,1237537.0,1.33,18.45,Csa,0.4569058386964186
Denmark,56.0,10.0,5138400.0,5831404.0,2.59,6.95,Cfb,0.04095142375130758
Djibouti,11.5,43.0,850998.0,1090156.0,1.13,28.0,BWh,0.19236179403229747
Dominica,15.4167,-61.3333,51181.0,71995.0,0.0,22.35,Af,0.31540659332493653
Dominican Republic,19.0,-70.6667,9079123.0,10999664.0,1.89,24.55,Af,0.13858505555897516
Ecuador,-2.0,-77.5,11285898.0,17588595.0,8.6,21.85,Af,0.47638946160056694
El Salvador,13.8333,-88.9167,4621633.0,6292731.0,2.93,24.45,Aw,0.17286684935465849
Equatorial Guinea,2.0,10.0,1166712.0,1596049.0,1.65,24.55,Af,0.0
Eritrea,15.0,39.0,1470245.0,3555868.0,0.0,25.5,BSh,0.3062832793326867
Estonia,59.0,26.0,920415.0,1329522.0,2.11,2.0,Dfb,0.3339340029796626
Ethiopia,8.0,38.0,25424568.0,117190911.0,1.61,22.2,Cwb,0.20785663246375258
Fiji,-18.0,175.0,526914.0,920422.0,6.25,24.4,Af,0.3349143031526658
Finland,64.0,26.0,4728699.0,5529543.0,3.69,1.55,Dfc,0.2488756232394579
France,46.0,2.0,54715704.0,67571107.0,6.18,10.7,Cfb,0.3056586969896995
Gabon,-1.0,11.75,2065425.0,2292573.0,0.62,25.05,Aw,0.24684834044540205
Georgia,42.0,43.5,2213266.0,3722716.0,0.6,5.65,Cfb,0.3718130100032609
Germany,51.0,9.0,64410589.0,83160871.0,3.38,8.4,Cfb,0.408624534338388
Ghana,8.0,-2.0,18455138.0,32180401.0,0.65,27.2,Aw,0.13880916998039058
Greece,39.0,22.0,8528388.0,10698599.0,2.19,13.03,Csa,0.24804942487023257
Grenada,12.1167,-61.6667,45183.0,123663.0,0.0,26.0,Aw,0.24900272833217538
Guatemala,15.5,-90.25,8738685.0,16858333.0,3.61,23.45,Cwb,0.1715386440415742
Guinea-Bissau,12.0,-15.0,890915.0,2015828.0,1.68,26.75,Aw,0.3487048410349746
Guinea,11.0,-10.0,4869400.0,13205153.0,0.62,25.7,Aw,0.2256961686946847
Guyana,5.0,-59.0,213539.0,797202.0,2.72,26.0,Af,0.26963998335284617
Haiti,19.0,-72.4167,6454827.0,11306801.0,2.6,24.9,Aw,0.39264520717052603
Honduras,15.0,-86.5,5906960.0,10121763.0,3.06,23.5,Am,0.1954842953538993
Hungary,47.0,20.0,7014452.0,9750149.0,3.43,9.75,Cfb,0.7669437081242215
Iceland,65.0,-18.0,344101.0,366463.0,0.4,-0.7,ET,0.5378270743946186
India,20.0,77.0,487702168.0,1396387127.0,1.59,23.65,As,0.1838142265489085
Indonesia,-5.0,120.0,153983073.0,271857970.0,3.88,25.85,Am,0.12950065948943396
Iraq,33.0,44.0,30169923.0,42556984.0,2.63,21.4,BWh,0.1454240917246516
Ireland,53.0,-8.0,3173345.0,4985382.0,5.33,9.3,Cfb,0.3963678689598301
Israel,31.5,34.75,8531985.0,9215100.0,0.65,19.2,BSh,0.1806201090835573
Italy,42.8333,12.8333,42224765.0,59438851.0,11.82,11.45,Cfb,0.3428568350930263
