"Country","Country Code","2020"
"Aruba","ABW","106585"
"Africa Eastern and Southern","AFE","685112979"
"Afghanistan","AFG","38972230"
"Africa Western and Central","AFW","466189102"
"Angola","AGO","33428486"
"Albania","ALB","2837849"
"Andorra","AND","77700"
"Arab World","ARB","449228296"
"United Arab Emirates","ARE","9287289"
"Argentina","ARG","45376763"
"Armenia","ARM","2805608"
"American Samoa","ASM","46189"
"Antigua and Barbuda","ATG","92664"
"Australia","AUS","25649248"
"Austria","AUT","8916864"
"Azerbaijan","AZE","10093121"
"Burundi","BDI","12220227"
"Belgium","BEL","11538604"
"Benin","BEN","12643123"
"Burkina Faso","BFA","21522626"
"Bangladesh","BGD","167420951"
"Bulgaria","BGR","6934015"
"Bahrain","BHR","1477469"
"Bahamas, The","BHS","406471"
"Bosnia and Herzegovina","BIH","3318407"
"Belarus","BLR","9379952"
"Belize","BLZ","394921"
"Bermuda","BMU","63893"
"Bolivia","BOL","11936162"
"Brazil","BRA","213196304"
"Barbados","BRB","280693"
"Brunei Darussalam","BRN","441725"
"Bhutan","BTN","772506"
"Botswana","BWA","2546402"
"Central African Republic","CAF","5343020"
"Canada","CAN","38007166"
"Central Europe and the Baltics","CEB","102180124"
"Switzerland","CHE","8638167"
"Channel Islands","CHI","171113"
"Chile","CHL","19300315"
"China","CHN","1411100000"
"Cote d'Ivoire","CIV","26811790"
"Cameroon","CMR","26491087"
"Congo, Dem. Rep.","COD","92853164"
"Congo, Rep.","COG","5702174"
"Colombia","COL","50930662"
"Comoros","COM","806166"
"Cabo Verde","CPV","582640"
"Costa Rica","CRI","5123105"
"Caribbean small states","CSS","7444768"
"Cuba","CUB","11300698"
"Curacao","CUW","154947"
"Cayman Islands","CYM","67311"
"Cyprus","CYP","1237537"
"Czechia","CZE","10697858"
"Germany","DEU","83160871"
"Djibouti","DJI","1090156"
"Dominica","DMA","71995"
"Denmark","DNK","5831404"
"Dominican Republic","DOM","10999664"
"Algeria","DZA","43451666"
"East Asia & Pacific (excluding high income)","EAP","2116378687"
"Early-demographic dividend","EAR","3374383528"
