"Country","Country Code","2020"
"Aruba","ABW","46574"
"Africa Eastern and Southern","AFE","252315481"
"Afghanistan","AFG","10142913"
"Africa Western and Central","AFW","223107995"
"Angola","AGO","22338586"
"Albania","ALB","1762645"
"Andorra","AND","68311"
"Arab World","ARB","265438305"
"United Arab Emirates","ARE","8084399"
"Argentina","ARG","41796990"
"Armenia","ARM","1776315"
"American Samoa","ASM","40255"
"Antigua and Barbuda","ATG","22641"
"Australia","AUS","22120168"
"Austria","AUT","5238479"
"Azerbaijan","AZE","5692217"
"Burundi","BDI","1675149"
"Belgium","BEL","11316947"
"Benin","BEN","6121168"
"Burkina Faso","BFA","6587430"
"Bangladesh","BGD","63916296"
"Bulgaria","BGR","5248079"
"Bahrain","BHR","1322423"
"Bahamas, The","BHS","338367"
"Bosnia and Herzegovina","BIH","1626683"
"Belarus","BLR","7455467"
"Belize","BLZ","181762"
"Bermuda","BMU","63893"
"Bolivia","BOL","8369995"
"Brazil","BRA","185636418"
"Barbados","BRB","87551"
"Brunei Darussalam","BRN","345650"
"Bhutan","BTN","326894"
"Botswana","BWA","1804813"
"Central African Republic","CAF","2254648"
"Canada","CAN","30999405"
"Central Europe and the Baltics","CEB","63925372"
"Switzerland","CHE","6384901"
"Channel Islands","CHI","52982"
"Chile","CHL","16931587"
"China","CHN","866810508"
"Cote d'Ivoire","CIV","13863304"
"Cameroon","CMR","15248270"
"Congo, Dem. Rep.","COD","42376327"
"Congo, Rep.","COG","3867728"
"Colombia","COL","41470292"
"Comoros","COM","236852"
"Cabo Verde","CPV","388341"
"Costa Rica","CRI","4137983"
"Caribbean small states","CSS","3841826"
"Cuba","CUB","8723461"
"Curacao","CUW","137999"
"Cayman Islands","CYM","67311"
"Cyprus","CYP","826935"
"Czechia","CZE","7922941"
"Germany","DEU","64410589"
"Djibouti","DJI","850998"
"Dominica","DMA","51181"
"Denmark","DNK","5138400"
"Dominican Republic","DOM","9079123"
"Algeria","DZA","32038217"
"East Asia & Pacific (excluding high income)","EAP","1216810366"
"Early-demographic dividend","EAR","1547694952"
"East Asia & Pacific","EAS","1434876536"
"Europe & Central Asia (excluding high income)","ECA","270716760"
"Europe & Central Asia","ECS","668394294"
"Ecuador","ECU","11285898"
"Egypt, Arab Rep.","EGY","45976808"
"Euro area","EMU","265634146"
"Eritrea","ERI","1470245"
"Spain","ESP","38276186"
"Estonia","EST","920415"
"Ethiopia","ETH","25424568"
"European Union","EUU","335592576"
"Fragile and conflict affected situations","FCS","426909880"
"Finland","FIN","4728699"
"Fiji","FJI","526914"
"France","FRA","54715704"
"Faroe Islands","FRO","22223"
"Micronesia, Fed. Sts.","FSM","25709"
"Gabon","GAB","2065425"
"United Kingdom","GBR","56283168"
"Georgia","GEO","2213266"
"Ghana","GHA","18455138"
"Gibraltar","GIB","32709"
"Guinea","GIN","4869400"
"Gambia, The","GMB","1610858"
"Guinea-Bissau","GNB","890915"
"Equatorial Guinea","GNQ","1166712"
"Greece","GRC","8528388"
"Grenada","GRD","45183"
"Greenland","GRL","49198"
"Guatemala","GTM","8738685"
"Guam","GUM","160665"
"Guyana","GUY","213539"
"High income","HIC","1008844877"
"Hong Kong SAR, China","HKG","7481000"
"Honduras","HND","5906960"
"Heavily indebted poor countries (HIPC)","HPC","310330898"
"Croatia","HRV","2329561"
"Haiti","HTI","6454827"
"Hungary","HUN","7014452"
"IBRD only","IBD","2740448681"
"IDA & IBRD total","IBT","3405531347"
"IDA total","IDA","665082666"
"IDA blend","IDB","251469607"
"Indonesia","IDN","153983073"
"IDA only","IDX","413613059"
"Isle of Man","IMN","44459"
"India","IND","487702168"
"Not classified","INX",
"Ireland","IRL","3173345"
"Iran, Islamic Rep.","IRN","66230561"
"Iraq","IRQ","30169923"
"Iceland","ISL","344101"
"Israel","ISR","8531985"
"Italy","ITA","42224765"
"Jamaica","JAM","1588216"
"Jordan","JOR","9990818"
"Japan","JPN","115884871"
"Kazakhstan","KAZ","10816580"
"Kenya","KEN","14553419"
"Kyrgyz Republic","KGZ","2425088"
"Cambodia","KHM","3973287"
"Kiribati","KIR","70306"
"St. Kitts and Nevis","KNA","14694"
"Korea, Rep.","KOR","42201956"
"Kuwait","KWT","4360444"
"Latin America & Caribbean (excluding high income)","LAC","474478238"
"Lao PDR","LAO","2656210"
"Lebanon","LBN","5035754"
"Liberia","LBR","2650072"
"Libya","LBY","5369132"
"St. Lucia","LCA","33770"
"Latin America & Caribbean","LCN","527782353"
"Least developed countries: UN classification","LDC","372846712"
"Low income","LIC","224032696"
"Liechtenstein","LIE","5587"
"Sri Lanka","LKA","4101702"
"Lower middle income","LMC","1287981298"
"Low & middle income","LMY","3349126653"
"Lesotho","LSO","654320"
"Late-demographic dividend","LTE","1485116164"
"Lithuania","LTU","1901807"
"Luxembourg","LUX","576537"
"Latvia","LVA","1298292"
"Macao SAR, China","MAC","676283"
"St. Martin (French part)","MAF",
"Morocco","MAR","23309111"
"Monaco","MCO","36922"
"Moldova","MDA","1129127"
"Madagascar","MDG","10876290"
"Maldives","MDV","209217"
"Middle East & North Africa","MEA","314666352"
"Mexico","MEX","101719689"
"Marshall Islands","MHL","33773"
"Middle income","MIC","3125093957"
"North Macedonia","MKD","1212058"
"Mali","MLI","9319264"
"Malta","MLT","488246"
"Myanmar","MMR","16636518"
"Middle East & North Africa (excluding high income)","MNA","254878842"
"Montenegro","MNE","419307"
"Mongolia","MNG","2261792"
"Northern Mariana Islands","MNP","45520"
"Mozambique","MOZ","11559020"
"Mauritania","MRT","2488943"
"Mauritius","MUS","516027"
"Malawi","MWI","3376840"
"Malaysia","MYS","25617115"
"North America","NAC","305103974"
"Namibia","NAM","1295152"
"New Caledonia","NCL","193871"
"Niger","NER","4045711"
"Nigeria","NGA","108242753"
"Nicaragua","NIC","3986789"
"Netherlands","NLD","16087342"
"Norway","NOR","4463566"
"Nepal","NPL","6038773"
"Nauru","NRU","12315"
"New Zealand","NZL","4413152"
"OECD members","OED","1109646556"
"Oman","OMN","3919863"
"Other small states","OSS","20367788"
"Pakistan","PAK","84437669"
"Panama","PAN","2937968"
"Peru","PER","26076625"
"Philippines","PHL","53187498"
"Palau","PLW","14555"
"Papua New Guinea","PNG","1301089"
"Poland","POL","22755739"
"Pre-demographic dividend","PRE","418085743"
"Puerto Rico","PRI","3070914"
"Korea, Dem. People's Rep.","PRK","16136385"
"Portugal","PRT","6827994"
"Paraguay","PRY","4115703"
"West Bank and Gaza","PSE","3685020"
"Pacific island small states","PSS","1003495"
"Post-demographic dividend","PST","912512768"
"French Polynesia","PYF","187115"
"Qatar","QAT","2739268"
"Romania","ROU","10440610"
"Russia","RUS","107700434"
"Rwanda","RWA","2291674"
"South Asia","SAS","656875632"
"Saudi Arabia","SAU","30340882"
"Sudan","SDN","15666605"
"Senegal","SEN","7909390"
"Singapore","SGP","5685807"
"Solomon Islands","SLB","170517"
"Sierra Leone","SLE","3534267"
"El Salvador","SLV","4621633"
"San Marino","SMR","33156"
"Somalia","SOM","7630345"
"Serbia","SRB","3894281"
"Sub-Saharan Africa (excluding high income)","SSA","475366815"
"South Sudan","SSD","2142352"
"Sub-Saharan Africa","SSF","475423476"
"Small states","SST","25213109"
"Sao Tome and Principe","STP","162568"
"Suriname","SUR","401567"
"Slovak Republic","SVK","2934665"
"Slovenia","SVN","1158811"
