id,user_id,store_id,distance,order_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,product_id,add_to_cart_order,special,eval_set,reordered
884297,690,0,1.236705389400516,2578411,36,6,17,2.0,21051,1,0,train,1
884298,690,0,1.236705389400516,2578411,36,6,17,2.0,43988,2,0,train,1
884299,690,0,1.236705389400516,2578411,36,6,17,2.0,780,3,15,train,1
884300,690,0,1.236705389400516,2578411,36,6,17,2.0,17149,4,0,train,1
884301,690,0,1.236705389400516,2578411,36,6,17,2.0,39828,5,30,train,0
884302,690,0,1.236705389400516,2578411,36,6,17,2.0,39408,6,15,train,1
114129,690,0,1.236705389400516,332081,45,4,16,7.0,43988,1,0,train,1
114130,690,0,1.236705389400516,332081,45,4,16,7.0,30391,2,50,train,0
114131,690,0,1.236705389400516,332081,45,4,16,7.0,48110,3,0,train,1
114132,690,0,1.236705389400516,332081,45,4,16,7.0,21051,4,0,train,1
114133,690,0,1.236705389400516,332081,45,4,16,7.0,24852,5,0,test,1
114134,690,0,1.236705389400516,332081,45,4,16,7.0,45946,6,0,train,1
114135,690,0,1.236705389400516,332081,45,4,16,7.0,23815,7,30,test,1
114136,690,0,1.236705389400516,332081,45,4,16,7.0,9422,8,0,train,1
114137,690,0,1.236705389400516,332081,45,4,16,7.0,49621,9,30,train,1
70262,690,0,1.236705389400516,203942,51,0,10,2.0,22000,1,30,train,0
70263,690,0,1.236705389400516,203942,51,0,10,2.0,16616,2,15,train,0
70264,690,0,1.236705389400516,203942,51,0,10,2.0,48110,3,0,train,1
70265,690,0,1.236705389400516,203942,51,0,10,2.0,41540,4,50,train,0
70266,690,0,1.236705389400516,203942,51,0,10,2.0,16840,5,15,train,1
70267,690,0,1.236705389400516,203942,51,0,10,2.0,49621,6,50,train,1
70268,690,0,1.236705389400516,203942,51,0,10,2.0,24964,7,0,train,1
70269,690,0,1.236705389400516,203942,51,0,10,2.0,22935,8,0,train,1
603149,690,0,1.236705389400516,1763299,53,6,11,9.0,43988,1,0,train,1
603150,690,0,1.236705389400516,1763299,53,6,11,9.0,24852,2,0,train,1
603151,690,0,1.236705389400516,1763299,53,6,11,9.0,288,3,0,train,1
603152,690,0,1.236705389400516,1763299,53,6,11,9.0,16521,4,0,train,1
603153,690,0,1.236705389400516,1763299,53,6,11,9.0,23815,5,15,train,1
603154,690,0,1.236705389400516,1763299,53,6,11,9.0,48110,6,15,test,1
603155,690,0,1.236705389400516,1763299,53,6,11,9.0,45946,7,30,train,1
603156,690,0,1.236705389400516,1763299,53,6,11,9.0,39408,8,15,test,1
603157,690,0,1.236705389400516,1763299,53,6,11,9.0,21051,9,0,test,1
603158,690,0,1.236705389400516,1763299,53,6,11,9.0,9468,10,50,train,0
181111,690,0,1.236705389400516,527931,68,4,14,2.0,33000,1,0,train,1
181112,690,0,1.236705389400516,527931,68,4,14,2.0,21051,2,0,train,1
181113,690,0,1.236705389400516,527931,68,4,14,2.0,780,3,30,train,1
181114,690,0,1.236705389400516,527931,68,4,14,2.0,28934,4,0,train,1
181115,690,0,1.236705389400516,527931,68,4,14,2.0,6046,5,15,train,1
181116,690,0,1.236705389400516,527931,68,4,14,2.0,48110,6,0,train,1
181117,690,0,1.236705389400516,527931,68,4,14,2.0,17915,7,0,train,1
567906,690,0,1.236705389400516,1660161,69,0,13,3.0,45946,1,0,test,1
567907,690,0,1.236705389400516,1660161,69,0,13,3.0,34969,2,0,train,1
567908,690,0,1.236705389400516,1660161,69,0,13,3.0,6046,3,15,train,1
567909,690,0,1.236705389400516,1660161,69,0,13,3.0,5474,4,0,train,1
567910,690,0,1.236705389400516,1660161,69,0,13,3.0,17149,5,15,test,1
567911,690,0,1.236705389400516,1660161,69,0,13,3.0,39408,6,0,test,1
567912,690,0,1.236705389400516,1660161,69,0,13,3.0,16521,7,0,train,1
495620,690,0,1.236705389400516,1447219,77,5,12,2.0,6046,1,0,train,1
495621,690,0,1.236705389400516,1447219,77,5,12,2.0,8012,2,15,train,1
495622,690,0,1.236705389400516,1447219,77,5,12,2.0,288,3,0,train,1
495623,690,0,1.236705389400516,1447219,77,5,12,2.0,4605,4,0,train,1
495624,690,0,1.236705389400516,1447219,77,5,12,2.0,12872,5,15,train,1
495625,690,0,1.236705389400516,1447219,77,5,12,2.0,28985,6,30,train,1
495626,690,0,1.236705389400516,1447219,77,5,12,2.0,21051,7,0,train,1
495627,690,0,1.236705389400516,1447219,77,5,12,2.0,17915,8,0,test,1
495628,690,0,1.236705389400516,1447219,77,5,12,2.0,43988,9,0,train,1
495629,690,0,1.236705389400516,1447219,77,5,12,2.0,45946,10,0,train,1
495630,690,0,1.236705389400516,1447219,77,5,12,2.0,45570,11,15,test,0
764227,690,1,1.8113338995139547,2228837,29,4,14,3.0,43504,1,0,test,1
764228,690,1,1.8113338995139547,2228837,29,4,14,3.0,17915,2,0,train,1
764229,690,1,1.8113338995139547,2228837,29,4,14,3.0,18171,3,0,train,0
764230,690,1,1.8113338995139547,2228837,29,4,14,3.0,12872,4,0,train,0
764231,690,1,1.8113338995139547,2228837,29,4,14,3.0,9366,5,15,train,0
764232,690,1,1.8113338995139547,2228837,29,4,14,3.0,42091,6,15,test,1
764233,690,1,1.8113338995139547,2228837,29,4,14,3.0,780,7,15,train,1
764234,690,1,1.8113338995139547,2228837,29,4,14,3.0,45007,8,0,train,1
561943,690,1,1.8113338995139547,1643207,42,4,18,2.0,48110,1,0,test,1
561944,690,1,1.8113338995139547,1643207,42,4,18,2.0,5449,2,0,test,1
561945,690,1,1.8113338995139547,1643207,42,4,18,2.0,45946,3,15,train,1
561946,690,1,1.8113338995139547,1643207,42,4,18,2.0,43988,4,0,train,1
561947,690,1,1.8113338995139547,1643207,42,4,18,2.0,21051,5,15,train,1
561948,690,1,1.8113338995139547,1643207,42,4,18,2.0,17915,6,0,train,1
561949,690,1,1.8113338995139547,1643207,42,4,18,2.0,23815,7,0,train,1
561950,690,1,1.8113338995139547,1643207,42,4,18,2.0,24561,8,0,train,1
1078177,690,1,1.8113338995139547,3143997,47,4,15,1.0,24561,1,0,test,1
1078178,690,1,1.8113338995139547,3143997,47,4,15,1.0,33000,2,0,train,1
1078179,690,1,1.8113338995139547,3143997,47,4,15,1.0,23815,3,0,train,1
1078180,690,1,1.8113338995139547,3143997,47,4,15,1.0,45946,4,0,train,1
1078181,690,1,1.8113338995139547,3143997,47,4,15,1.0,47766,5,15,train,1
1078182,690,1,1.8113338995139547,3143997,47,4,15,1.0,49621,6,15,train,1
1078183,690,1,1.8113338995139547,3143997,47,4,15,1.0,38293,7,0,train,0
255043,690,1,1.8113338995139547,747308,52,4,14,4.0,23815,1,0,train,1
255044,690,1,1.8113338995139547,747308,52,4,14,4.0,24852,2,15,train,1
255045,690,1,1.8113338995139547,747308,52,4,14,4.0,43988,3,0,train,1
255046,690,1,1.8113338995139547,747308,52,4,14,4.0,45946,4,0,test,1
255047,690,1,1.8113338995139547,747308,52,4,14,4.0,48110,5,15,test,1
255048,690,1,1.8113338995139547,747308,52,4,14,4.0,21051,6,0,train,1
255049,690,1,1.8113338995139547,747308,52,4,14,4.0,17828,7,0,train,1
255050,690,1,1.8113338995139547,747308,52,4,14,4.0,49683,8,15,train,0
255051,690,1,1.8113338995139547,747308,52,4,14,4.0,26369,9,30,test,0
255052,690,1,1.8113338995139547,747308,52,4,14,4.0,14647,10,30,train,0
255053,690,1,1.8113338995139547,747308,52,4,14,4.0,6046,11,0,train,1
255054,690,1,1.8113338995139547,747308,52,4,14,4.0,28842,12,15,test,1
255055,690,1,1.8113338995139547,747308,52,4,14,4.0,49111,13,30,train,0
255056,690,1,1.8113338995139547,747308,52,4,14,4.0,16908,14,30,train,0
255057,690,1,1.8113338995139547,747308,52,4,14,4.0,20520,15,15,test,0
234287,690,1,1.8113338995139547,687725,57,4,14,5.0,21051,1,0,train,1
234288,690,1,1.8113338995139547,687725,57,4,14,5.0,17915,2,0,train,1
234289,690,1,1.8113338995139547,687725,57,4,14,5.0,21009,3,50,train,1
234290,690,1,1.8113338995139547,687725,57,4,14,5.0,11130,4,15,test,1
234291,690,1,1.8113338995139547,687725,57,4,14,5.0,49621,5,0,train,1
234292,690,1,1.8113338995139547,687725,57,4,14,5.0,45946,6,50,train,1
222626,690,1,1.8113338995139547,653544,58,0,13,3.0,21051,1,0,train,1
222627,690,1,1.8113338995139547,653544,58,0,13,3.0,23815,2,0,test,1
222628,690,1,1.8113338995139547,653544,58,0,13,3.0,34448,3,30,test,0
222629,690,1,1.8113338995139547,653544,58,0,13,3.0,45946,4,0,train,1
222630,690,1,1.8113338995139547,653544,58,0,13,3.0,21938,5,15,test,0
222631,690,1,1.8113338995139547,653544,58,0,13,3.0,34969,6,50,test,1
222632,690,1,1.8113338995139547,653544,58,0,13,3.0,49621,7,0,test,1
222633,690,1,1.8113338995139547,653544,58,0,13,3.0,5876,8,15,train,0
222634,690,1,1.8113338995139547,653544,58,0,13,3.0,34126,9,30,train,0
222635,690,1,1.8113338995139547,653544,58,0,13,3.0,33731,10,0,test,0
418432,690,1,1.8113338995139547,1224545,64,2,16,3.0,23815,1,50,train,1
418433,690,1,1.8113338995139547,1224545,64,2,16,3.0,15239,2,30,test,0
418434,690,1,1.8113338995139547,1224545,64,2,16,3.0,8414,3,0,train,1
418435,690,1,1.8113338995139547,1224545,64,2,16,3.0,18171,4,0,test,1
418436,690,1,1.8113338995139547,1224545,64,2,16,3.0,16521,5,0,test,1
750313,690,1,1.8113338995139547,2188085,90,0,12,4.0,17915,1,15,train,1
750314,690,1,1.8113338995139547,2188085,90,0,12,4.0,30720,2,50,train,0
750315,690,1,1.8113338995139547,2188085,90,0,12,4.0,23236,3,15,test,1
750316,690,1,1.8113338995139547,2188085,90,0,12,4.0,18171,4,15,train,1
750317,690,1,1.8113338995139547,2188085,90,0,12,4.0,49621,5,0,test,1
750318,690,1,1.8113338995139547,2188085,90,0,12,4.0,21051,6,0,train,1
750319,690,1,1.8113338995139547,2188085,90,0,12,4.0,43988,7,0,train,1
750320,690,1,1.8113338995139547,2188085,90,0,12,4.0,31506,8,15,train,1
750321,690,1,1.8113338995139547,2188085,90,0,12,4.0,16521,9,30,test,1
750322,690,1,1.8113338995139547,2188085,90,0,12,4.0,42625,10,30,train,0
750323,690,1,1.8113338995139547,2188085,90,0,12,4.0,39812,11,30,train,0
750324,690,1,1.8113338995139547,2188085,90,0,12,4.0,42091,12,30,train,1
750325,690,1,1.8113338995139547,2188085,90,0,12,4.0,12872,13,0,train,1
1032273,690,1,1.8113338995139547,3006729,92,4,10,1.0,17915,1,30,train,1
1032274,690,1,1.8113338995139547,3006729,92,4,10,1.0,780,2,0,train,1
1032275,690,1,1.8113338995139547,3006729,92,4,10,1.0,23815,3,0,train,1
1032276,690,1,1.8113338995139547,3006729,92,4,10,1.0,9128,4,30,train,1
1032277,690,1,1.8113338995139547,3006729,92,4,10,1.0,4367,5,30,test,0
928214,690,1,1.8113338995139547,2706379,93,5,13,1.0,47766,1,0,train,1
928215,690,1,1.8113338995139547,2706379,93,5,13,1.0,288,2,30,train,1
928216,690,1,1.8113338995139547,2706379,93,5,13,1.0,29487,3,30,train,0
928217,690,1,1.8113338995139547,2706379,93,5,13,1.0,8518,4,15,train,1
928218,690,1,1.8113338995139547,2706379,93,5,13,1.0,34358,5,50,train,1
928219,690,1,1.8113338995139547,2706379,93,5,13,1.0,6046,6,0,test,1
503859,690,2,0.6339741965868303,1471269,18,5,14,3.0,16840,1,0,train,1
503860,690,2,0.6339741965868303,1471269,18,5,14,3.0,48110,2,0,test,1
503861,690,2,0.6339741965868303,1471269,18,5,14,3.0,23815,3,0,train,0
503862,690,2,0.6339741965868303,1471269,18,5,14,3.0,43988,4,0,train,0
503863,690,2,0.6339741965868303,1471269,18,5,14,3.0,45946,5,15,train,0
503864,690,2,0.6339741965868303,1471269,18,5,14,3.0,32747,6,15,train,0
503865,690,2,0.6339741965868303,1471269,18,5,14,3.0,8467,7,0,train,1
503866,690,2,0.6339741965868303,1471269,18,5,14,3.0,46667,8,0,train,1
503867,690,2,0.6339741965868303,1471269,18,5,14,3.0,24964,9,15,train,0
503868,690,2,0.6339741965868303,1471269,18,5,14,3.0,24852,10,0,train,1
1052800,690,2,0.6339741965868303,3069808,48,0,16,3.0,43988,1,0,test,1
1052801,690,2,0.6339741965868303,3069808,48,0,16,3.0,24852,2,0,train,1
1052802,690,2,0.6339741965868303,3069808,48,0,16,3.0,39408,3,0,train,1
1052803,690,2,0.6339741965868303,3069808,48,0,16,3.0,16521,4,30,train,1
1052804,690,2,0.6339741965868303,3069808,48,0,16,3.0,43504,5,0,train,1
1052805,690,2,0.6339741965868303,3069808,48,0,16,3.0,42091,6,30,test,1
1052806,690,2,0.6339741965868303,3069808,48,0,16,3.0,8012,7,0,train,0
1052807,690,2,0.6339741965868303,3069808,48,0,16,3.0,17828,8,0,train,1
1052808,690,2,0.6339741965868303,3069808,48,0,16,3.0,45946,9,50,train,1
601720,690,2,0.6339741965868303,1759287,55,3,17,6.0,48110,1,50,train,1
601721,690,2,0.6339741965868303,1759287,55,3,17,6.0,5684,2,50,train,0
601722,690,2,0.6339741965868303,1759287,55,3,17,6.0,49621,3,0,train,1
601723,690,2,0.6339741965868303,1759287,55,3,17,6.0,17915,4,0,train,1
601724,690,2,0.6339741965868303,1759287,55,3,17,6.0,47626,5,30,test,0
601725,690,2,0.6339741965868303,1759287,55,3,17,6.0,8670,6,0,train,0
601726,690,2,0.6339741965868303,1759287,55,3,17,6.0,10246,7,15,train,0
242869,690,2,0.6339741965868303,712058,62,4,11,3.0,21051,1,0,test,1
242870,690,2,0.6339741965868303,712058,62,4,11,3.0,45946,2,15,train,1
242871,690,2,0.6339741965868303,712058,62,4,11,3.0,17915,3,30,train,1
242872,690,2,0.6339741965868303,712058,62,4,11,3.0,23815,4,0,train,1
242873,690,2,0.6339741965868303,712058,62,4,11,3.0,24852,5,0,train,1
242874,690,2,0.6339741965868303,712058,62,4,11,3.0,33000,6,0,train,1
242875,690,2,0.6339741965868303,712058,62,4,11,3.0,43988,7,0,train,1
242876,690,2,0.6339741965868303,712058,62,4,11,3.0,5450,8,50,train,0
242877,690,2,0.6339741965868303,712058,62,4,11,3.0,42091,9,0,train,1
242878,690,2,0.6339741965868303,712058,62,4,11,3.0,1476,10,30,train,0
242879,690,2,0.6339741965868303,712058,62,4,11,3.0,7500,11,15,train,0
242880,690,2,0.6339741965868303,712058,62,4,11,3.0,17794,12,0,test,1
242881,690,2,0.6339741965868303,712058,62,4,11,3.0,32433,13,30,train,0
836228,690,2,0.6339741965868303,2437297,63,6,10,2.0,23815,1,0,train,1
836229,690,2,0.6339741965868303,2437297,63,6,10,2.0,8414,2,0,train,1
836230,690,2,0.6339741965868303,2437297,63,6,10,2.0,28934,3,0,train,1
836231,690,2,0.6339741965868303,2437297,63,6,10,2.0,31506,4,0,train,1
836232,690,2,0.6339741965868303,2437297,63,6,10,2.0,49683,5,0,train,1
836233,690,2,0.6339741965868303,2437297,63,6,10,2.0,43988,6,0,test,1
836234,690,2,0.6339741965868303,2437297,63,6,10,2.0,49401,7,0,train,1
836235,690,2,0.6339741965868303,2437297,63,6,10,2.0,12872,8,0,train,1
