SMILES;Class;apol;ASA+;ASA-;a_count;a_donacc;a_heavy;a_hyd;a_IC;a_nC;a_nCl;a_nF;a_nH;balabanJ;bpol;CASA+;CASA-;chi0;chi0v;chi0v_C;chi0_C;chi1;chi1v;chi1v_C;chi1_C;DASA;DCASA;dens;density;diameter;dipole;h_logP;h_logS;logP(o/w);logS;mr;npr2;PC+;PC-;PEOE_VSA_NEG;PEOE_VSA_PNEG;PEOE_VSA_POL;PEOE_VSA_PPOS;petitjean;petitjeanSC;pmi;pmi2;pmi3;radius;rgyr;RPC-;rsynth;SlogP;SMR;std_dim1;std_dim2;std_dim3;TPSA;VAdjEq;VAdjMa;VDistEq;VDistMa;vdw_area;vdw_vol;vol;VSA;vsa_acc;vsa_hyd;vsa_pol;vsurf_A;vsurf_R;vsurf_S;vsurf_V;Weight;zagreb
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-];Class 2;41.283001;21.282999;622.40619;43;0;43;40;49.644451;14;0;27;0;7.4658461;34.396999;212.40433;6834.02;36.077351;18.021538;7;7.0773501;17.943377;8.7607689;3.25;3.2886751;601.12323;6621.6157;2.0662019;1.5986819;15;8.8737078;10.113732;-8.9714737;12.8938;-9.3698997;6.3237877;0.99732542;9.9799995;-10.98;348.66699;27.133842;62.977699;35.843857;0.46666667;0.875;21944.059;21172.363;21229.143;8;5.5473285;0.081967212;0.55813956;6.9222002;7.0426002;5.3745217;0.98346621;0.94446003;40.130001;0.26665699;6.3923173;3.6732953;10.596491;399.21936;188,6175398;345.125;421.45898;27.133842;357.37701;27.133842;3.6104541;7,831074943;-101,9339506;-4,007604051;713.09796;246
c12c(cccc1)cccc2;Class 2;22.934343;155.97543;156.69504;18;0;10;10;17.839369;10;0;0;8;1.973451;8.745656;187.17052;188.03406;6.8115549;5.6188021;5.6188021;6.8115549;4.9663267;3.4047005;3.4047005;4.9663267;0.71961218;0.86353463;0.91471183;0.63803971;5;0.00025980762;2.9311595;-3.6851635;3.128;-3.2627599;4.3421812;0.71816498;1.2;-1.2;102.45631;0;0;0;0.40000001;0.66666669;568.41663;408.21695;568.41663;3;2.1058791;0.125;1;2.8397999;4.3948002;2.1181843;1.5085702;0.00028230279;0;0.76016748;4.4594316;2.1166077;6.3344417;136.57939;112,7530623;140.125;151.37508;0;130.88504;0;0.040119693;0,087019614;-1,132699292;-0,044532859;128.174;50
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)-c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl;Class -2;42.919998;38.976181;499.5217;22;0;22;22;21.868664;12;10;0;0;2.3614981;4.1999998;68.987846;884.15338;16.928204;17.338934;6;6.9282031;10.106836;8.919467;3.25;4.3333335;460.5455;815.16553;1.5705889;1.236138;9;0.0014595794;10.476893;-10.128985;9.7620001;-11.15416;9.4047222;0.73667008;1.77;-1.77;295.81946;0;0;0;0.44444445;0.80000001;7079.022;5006.4556;6796.062;5;3.7677624;0.1;0;9.8875999;10.1978;2.8387864;1.7317343;0.62270516;0;0.4530769;5.523562;2.8747079;8.679059;345.43402;154,4872502;317.5;338.42563;0;345.43402;0;0.048170879;0,104482637;-1,360008427;-0,053469676;498.66199;118
ClC1(Cl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C1C2C(Cl)C2(Cl)OC12;Class -2;38.509171;46.270092;421.43369;23;1;19;16;38.822643;10;8;0;4;1.9577138;9.6488276;110.12282;1003.0121;14.171208;14.788796;5.309401;5.4641018;8.5592365;8.4678078;3.4047005;3.5653841;375.16357;892.88934;1.5529637;1.2649298;6;0.46801713;5.3723097;-6.2045174;6.69836;-7.3522801;7.6103511;0.93558484;2.3800001;-2.3800001;239.15933;2.503756;2.503756;0;0.33333334;0.5;4013.8135;2971.4951;3176.0828;4;3.0776277;0.12436975;0.10526316;5.0191998;8.0415001;1.9680673;1.3691698;1.2281305;12.53;0.53475124;5.4594316;2.3898702;8.2771378;271.13144;147,3330528;272.875;293.98846;2.503756;263.09042;2.503756;4.9735065;10,7875356;-140,417009;-5,520592215;423.76498;130
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)-c1c(Cl)c(Cl)c(Cl)c(Cl)c1;Class -2;41.406792;56.392834;480.49115;22;0;21;21;26.55862;12;9;0;1;2.2757986;4.8732071;98.292709;837.49609;16.057961;16.282391;6.0773501;7.0579596;9.6793156;8.4298706;3.3273504;4.4831634;424.09833;739.20337;1.5264019;1.1981425;9;0.45658007;9.7949505;-9.442112;9.2110004;-10.41987;9.0555487;0.95364404;1.743;-1.743;278.49243;0;0;0;0.44444445;0.80000001;6711.7808;5598.1787;5870.3022;5;3.8024049;0.10154905;0;9.2341995;9.6968002;2.8549733;1.2666259;1.216203;0;0.46827638;5.4594316;2.8877165;8.5342579;327.8526;151,9097906;304.125;330.35486;0;327.14081;0;0.13772434;0,298724093;-3,888371291;-0,152874017;464.21698;112
Clc1c(Cl)c(Cl)c2Oc3c(Cl)c(Cl)c(Cl)c(Cl)c3Oc2c1Cl;Class -2;40.164001;87.264442;444.83752;22;0;22;20;29.087946;12;8;0;0;1.8874974;7.1919999;152.18919;776.68634;16.342417;15.887644;6;6.9282031;10.251796;8.3520699;3;4;357.57309;624.49713;1.5357127;1.2133337;9;0.00056813244;8.9986115;-9.1378555;7.0739999;-10.0026;8.7208185;0.73884368;1.744;-1.7460001;241.66309;5.0075121;5.0075121;0;0.44444445;0.80000001;7471.3096;5520.1289;7471.3081;5;4.0312119;0.10137457;1;8.8118;9.3112001;3.0880318;1.7186753;0.0015216122;18.459999;0.46637034;5.5849624;2.9329171;8.6618109;311.65515;154,180234;299.375;320.80972;0;306.64761;0;0.083862059;0,181896806;-2,367677512;-0,093086885;459.754;124
Clc1c(Cl)c(Cl)cc(c1Cl)-c1c(Cl)c(Cl)c(Cl)c(Cl)c1;Class -2;39.893585;71.585495;458.19672;22;0;20;20;29.087946;12;8;0;2;2.1875508;5.5464139;122.84071;786.26556;15.187716;15.225848;6.1547008;7.1877165;9.2517958;7.9402742;3.4047005;4.6329932;386.61121;663.42487;1.4711921;1.156883;9;0.54962772;9.111618;-8.7551765;8.6599998;-9.6855803;8.6726685;0.98212892;1.716;-1.716;261.16537;0;0;0;0.44444445;0.80000001;6413.355;5520.2153;5620.6631;5;3.8629901;0.10314685;0;8.5808001;9.1957998;2.8531313;1.2386568;1.19472;0;0.48464775;5.3923173;2.9004679;8.3818893;310.27121;149,1976295;292.125;316.52261;0;308.84763;0;0.15145993;0,328516588;-4,276168204;-0,168120522;429.772;106
Cc1c2c(c3c(cc2)cccc3)ccc1;Class 1;34.401516;194.13509;186.15179;27;0;15;15;26.759054;15;0;0;12;1.7849813;13.118484;308.6748;295.98135;10.250712;8.6961527;8.6961527;10.250712;7.3601732;5.2320509;5.2320509;7.3601732;7.9832969;12.693442;0.93160993;0.64661717;7;0.14604333;4.5275278;-5.8123956;4.8148999;-5.6145601;6.3822165;0.75792855;1.59;-1.59;140.08452;0;0;0;0.42857143;0.75;1482.0425;1122.0664;1480.4382;4;2.7764173;0.094339624;0;4.3014202;6.6191001;2.8052211;1.7537016;0.24277677;0;0.61261392;5.0874629;2.553652;7.5372267;191.26915;134,1626353;206.375;217.29707;0;182.7276;0;0.090569898;0,196446109;-2,55705993;-0,100532587;192.261;82
Cc1cc2c(cc(C)cc2)cc1;Class 1;29.121515;209.0966;159.50543;24;0;12;12;24;12;0;0;12;1.9685656;13.118484;288.55331;220.11749;8.552042;7.4641018;7.4641018;8.552042;5.7540202;4.2260675;4.2260675;5.7540202;49.591167;68.435814;0.87522686;0.62554872;7;0.0016193952;3.9240057;-4.7514019;4.1398001;-4.2105999;5.2228737;0.82732111;1.38;-1.38;119.85894;0;0;0;0.42857143;0.75;1054.1034;869.4024;1050.8645;4;2.5975397;0.10869565;0;3.45664;5.3421998;2.8733656;1.4165303;0.36589608;0;0.68129086;4.7004399;2.4399483;6.859551;171.04356;122,1000078;178.5;192.69707;0;162.50203;0;0.037095118;0,080459311;-1,047306466;-0,041175581;156.228;62
Clc1c(Cl)c(Cl)cc(c1Cl)-c1cc(Cl)c(Cl)c(Cl)c1;Class -2;38.380379;84.536034;430.07404;22;0;19;19;30.681574;12;7;0;3;2.101023;6.2196212;142.78136;726.39502;14.317472;14.169305;6.2320509;7.3174729;8.824275;7.4506779;3.4820509;4.7828231;345.53799;583.61365;1.4310479;1.1119204;9;0.44380984;8.4339666;-8.0737658;8.1090002;-8.9512901;8.2751923;0.90385127;1.689;-1.689;246.04688;0;0;0;0.44444445;0.80000001;6159.9814;5158.3872;5707.1196;5;3.947403;0.10479574;0;7.9274001;8.6948004;2.8548367;1.3830813;0.96244907;0;0.5023343;5.321928;2.9114637;8.2211637;292.68979;146,3367139;276.25;303.78513;0;290.55441;0;0.11028472;0,239207558;-3,1136685;-0,122416039;395.327;100
